Space Type Space Type Name,Cockpit,Desk: Hotdesk,Desk: Project Table,Desk: Standard
Svlive Activity By Hour Start of Hour Time,Svlive Activity By Hour Active Minutes,Svlive Activity By Hour Active Minutes,Svlive Activity By Hour Active Minutes,Svlive Activity By Hour Active Minutes
12/10/2020 23:00,,,,2
12/11/2020 0:00,,,,439
12/11/2020 1:00,,,,868
12/11/2020 2:00,,,,945
12/11/2020 3:00,,,,870
12/11/2020 4:00,,,,714
12/11/2020 5:00,,,,887
12/11/2020 6:00,,,,2596
12/11/2020 7:00,,,139,12239
12/11/2020 8:00,44,,329,48932
12/11/2020 9:00,73,,449,91033
12/11/2020 10:00,129,,699,109144
12/11/2020 11:00,105,,668,114571
12/11/2020 12:00,104,,561,81138
12/11/2020 13:00,110,,495,76690
12/11/2020 14:00,135,,383,92303
12/11/2020 15:00,59,,454,92855
12/11/2020 16:00,94,,308,76030
12/11/2020 17:00,35,,224,34691
12/11/2020 18:00,,,175,12923
12/11/2020 19:00,,,51,5844
12/11/2020 20:00,,,,3870
12/11/2020 21:00,,,,2042
12/11/2020 22:00,,,,1556
12/11/2020 23:00,,,,1329
12/12/2020 0:00,,,,1135
12/12/2020 1:00,,,,1127
12/12/2020 2:00,,,,895
12/12/2020 3:00,,,,760
12/12/2020 4:00,,,,778
12/12/2020 5:00,,,,691
12/12/2020 6:00,,,,656
12/12/2020 7:00,,,,1252
12/12/2020 8:00,,,,1586
12/12/2020 9:00,,,,2371
12/12/2020 10:00,,,,3009
12/12/2020 11:00,,,,3538
12/12/2020 12:00,,,,3335
12/12/2020 13:00,,,36,3415
12/12/2020 14:00,,,48,2928
12/12/2020 15:00,,,50,2369
12/12/2020 16:00,,,55,2053
12/12/2020 17:00,,,60,1607
12/12/2020 18:00,,,31,1065
12/12/2020 19:00,,,12,783
12/12/2020 20:00,,,0,602
12/12/2020 21:00,,,0,571
12/12/2020 22:00,,,0,601
12/12/2020 23:00,,,0,668
12/13/2020 0:00,,,0,381
12/13/2020 1:00,,,,257
12/13/2020 2:00,,,,343
12/13/2020 3:00,,,,456
12/13/2020 4:00,,,,370
12/13/2020 5:00,,,,339
12/13/2020 6:00,,,,356
12/13/2020 7:00,,,,489
12/13/2020 8:00,,,,721
12/13/2020 9:00,,,,1148
12/13/2020 10:00,,,13,1880
12/13/2020 11:00,,,42,2146
12/13/2020 12:00,,,56,2521
12/13/2020 13:00,,,60,2201
12/13/2020 14:00,,,55,2162
12/13/2020 15:00,,,0,2187
12/13/2020 16:00,,,0,1542
12/13/2020 17:00,,,0,1375
12/13/2020 18:00,,,0,1138
12/13/2020 19:00,,,,929
12/13/2020 20:00,,,,508
12/13/2020 21:00,,,,594
12/13/2020 22:00,,,,513
12/13/2020 23:00,,,,396
12/14/2020 0:00,,,,402
12/14/2020 1:00,,,,330
12/14/2020 2:00,,,,252
12/14/2020 3:00,,,,267
12/14/2020 4:00,,,,413
12/14/2020 5:00,,,,707
12/14/2020 6:00,,,66,2597
12/14/2020 7:00,2,,120,13300
12/14/2020 8:00,28,,219,52573
12/14/2020 9:00,135,,458,96836
12/14/2020 10:00,282,,556,112533
12/14/2020 11:00,301,,649,116352
12/14/2020 12:00,131,,381,93324
12/14/2020 13:00,134,,387,98895
12/14/2020 14:00,260,,495,108585
12/14/2020 15:00,221,,635,110758
12/14/2020 16:00,181,,574,98922
12/14/2020 17:00,41,,320,56163
12/14/2020 18:00,40,,115,22770
12/14/2020 19:00,52,,89,9436
12/14/2020 20:00,,,0,4763
12/14/2020 21:00,,,0,2458
12/14/2020 22:00,,,0,1635
12/14/2020 23:00,,,0,1263
12/15/2020 0:00,,,0,1040
12/15/2020 1:00,,,0,963
12/15/2020 2:00,,,,860
12/15/2020 3:00,,,,897
12/15/2020 4:00,,,,668
12/15/2020 5:00,,,,997
12/15/2020 6:00,,,,3551
12/15/2020 7:00,,,2,16583
12/15/2020 8:00,102,,234,66212
12/15/2020 9:00,175,45,759,118316
12/15/2020 10:00,292,33,686,134001
12/15/2020 11:00,376,19,837,142078
12/15/2020 12:00,179,9,609,110298
12/15/2020 13:00,226,,573,112173
12/15/2020 14:00,373,,582,128947
12/15/2020 15:00,219,,824,130546
12/15/2020 16:00,220,,627,115341
12/15/2020 17:00,36,,477,62358
12/15/2020 18:00,17,,180,25779
12/15/2020 19:00,58,,73,10985
12/15/2020 20:00,46,,34,6494
12/15/2020 21:00,,,0,3921
12/15/2020 22:00,,,0,3009
12/15/2020 23:00,,,,2289
12/16/2020 0:00,,,0,1772
12/16/2020 1:00,,,,1473
12/16/2020 2:00,,,,1275
12/16/2020 3:00,,,,1184
12/16/2020 4:00,,,,1036
12/16/2020 5:00,,,,1091
12/16/2020 6:00,,,,3655
12/16/2020 7:00,,,18,16502
12/16/2020 8:00,17,,253,64635
12/16/2020 9:00,142,,477,119075
12/16/2020 10:00,328,,606,138340
12/16/2020 11:00,251,,587,144997
12/16/2020 12:00,170,,478,108877
12/16/2020 13:00,287,,288,110491
12/16/2020 14:00,372,,549,128516
12/16/2020 15:00,207,,714,129557
12/16/2020 16:00,298,,684,114485
12/16/2020 17:00,149,,532,62334
12/16/2020 18:00,70,,329,23591
12/16/2020 19:00,42,,40,9949
12/16/2020 20:00,3,,0,5501
12/16/2020 21:00,,,0,2728
12/16/2020 22:00,,,0,2468
12/16/2020 23:00,,,0,1761
12/17/2020 0:00,,,,1729
12/17/2020 1:00,,,,1551
12/17/2020 2:00,,,,1130
12/17/2020 3:00,,,,1364
12/17/2020 4:00,,,,1253
12/17/2020 5:00,,,,1427
12/17/2020 6:00,,,,3822
12/17/2020 7:00,5,,19,16683
12/17/2020 8:00,80,,317,72367
12/17/2020 9:00,217,16,501,132027
12/17/2020 10:00,270,70,517,147738
12/17/2020 11:00,252,74,599,154196
12/17/2020 12:00,133,54,339,110802
12/17/2020 13:00,174,28,402,106986
12/17/2020 14:00,269,,442,128431
12/17/2020 15:00,328,46,596,130413
