Space Type Space Type Name,Cockpit,Floor Computer Room,Informal Meeting Space,Lab,Mail Room,Meeting Room,Meeting Space,Training,Workspace
Booking By Hour Start of Hour Time,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count,Booking By Hour Count
5/1/2019 11:00,88,1,89,,,316,17,21,
5/1/2019 12:00,64,1,33,,,220,10,21,
5/1/2019 13:00,78,1,54,,,313,9,21,
5/1/2019 14:00,125,1,115,,,389,18,21,
5/1/2019 15:00,110,1,100,,,366,17,21,
5/1/2019 16:00,70,2,54,,,283,6,21,
5/1/2019 17:00,22,1,18,,,90,1,21,
5/1/2019 18:00,3,1,2,,,28,,21,
5/1/2019 20:00,,,,,,1,,,
5/1/2019 23:00,,,,,,1,,,
5/2/2019 0:00,,,,,,3,,,
5/2/2019 1:00,,,,,,2,,,
5/2/2019 2:00,,,,,,3,,,
5/2/2019 3:00,,,,,,1,,,
5/2/2019 4:00,,,,,,1,,,
5/2/2019 5:00,,,,,,1,,,
5/2/2019 6:00,,,,,,2,,,
5/2/2019 7:00,33,,25,,2,55,,21,
5/2/2019 8:00,43,,27,,2,89,,21,
5/2/2019 9:00,78,1,72,,2,278,7,21,
5/2/2019 10:00,133,1,132,,2,408,13,21,
5/2/2019 11:00,130,2,123,,2,396,8,21,
5/2/2019 12:00,71,1,57,,2,241,3,21,
5/2/2019 13:00,104,,78,,2,344,5,21,
5/2/2019 14:00,147,2,126,,2,387,8,21,
5/2/2019 15:00,122,1,125,,2,409,10,21,
5/2/2019 16:00,79,1,78,,2,329,6,21,
5/2/2019 17:00,45,1,29,,2,117,,21,
5/2/2019 18:00,3,,1,,,25,,21,
5/2/2019 19:00,,,,,,7,,,
5/2/2019 20:00,1,,,,,1,,,
5/2/2019 22:00,,,,,,1,,,
5/2/2019 23:00,,,,,,1,,,
5/3/2019 0:00,,,,,,2,,,
5/3/2019 1:00,,,,,,1,,,
5/3/2019 2:00,,,,,,1,,,
5/3/2019 3:00,,,,,,1,,,
5/3/2019 4:00,,,,,,1,,,
5/3/2019 5:00,,,,,,1,,,
5/3/2019 6:00,,,,,,1,,,
5/3/2019 7:00,33,,25,,2,55,,21,
5/3/2019 8:00,35,,27,,2,96,,21,
5/3/2019 9:00,69,1,71,,2,254,8,21,
5/3/2019 10:00,109,1,111,,2,368,12,21,
5/3/2019 11:00,118,1,115,,2,375,13,21,
5/3/2019 12:00,74,1,49,,2,216,1,21,
5/3/2019 13:00,81,1,70,,2,295,8,21,
5/3/2019 14:00,117,2,116,,2,367,19,21,
5/3/2019 15:00,97,1,81,,2,341,11,21,
5/3/2019 16:00,66,1,45,,2,203,6,21,
5/3/2019 17:00,34,,26,,2,71,,21,
5/3/2019 18:00,3,,2,,,21,,21,
5/3/2019 20:00,,,,,,1,,,
5/3/2019 21:00,,,,,,1,,,
5/3/2019 22:00,,,,,,1,,,
5/4/2019 0:00,1,,,,,1,,,
5/4/2019 1:00,1,,,,,1,,,
5/4/2019 2:00,,,,,,1,,,
5/4/2019 3:00,,,,,,1,,,
5/4/2019 5:00,,,,,,1,,,
5/4/2019 6:00,,,,,,4,,,
5/4/2019 7:00,15,,11,,,20,,,
5/4/2019 8:00,30,,25,,,41,,,
5/4/2019 9:00,30,,25,,,40,,,
5/4/2019 10:00,32,,25,,,38,,,
5/4/2019 11:00,31,,23,,,36,,,
5/4/2019 12:00,15,,11,,,22,,,
5/4/2019 13:00,15,,12,,,21,,,
5/4/2019 14:00,15,,14,,,20,,,
5/4/2019 15:00,16,,11,,,19,,,
5/4/2019 16:00,15,,12,,,18,,,
5/4/2019 17:00,15,,11,,,18,,,
5/4/2019 19:00,,,,,,1,,,
5/5/2019 0:00,,,,,,1,,,
5/5/2019 7:00,15,,11,,,18,,,
5/5/2019 8:00,15,,11,,,18,,,
5/5/2019 9:00,15,,11,,,20,,,
5/5/2019 10:00,15,,13,,,19,,,
5/5/2019 11:00,15,,11,,,18,,,
5/5/2019 12:00,15,,11,,,19,,,
5/5/2019 13:00,15,,12,,,19,,,
5/5/2019 14:00,15,,14,,,18,,,
5/5/2019 15:00,15,,11,,,18,,,
5/5/2019 16:00,16,,12,,,18,,,
5/5/2019 17:00,15,,11,,,18,,,
5/5/2019 22:00,1,,,,,,,,
5/6/2019 0:00,,,,,,5,,,
5/6/2019 1:00,,,,,,2,,,
5/6/2019 2:00,,,1,,,2,,,
5/6/2019 3:00,,,,,,5,,,
5/6/2019 4:00,,,,,,3,,,
5/6/2019 5:00,,,,,,2,,,
5/6/2019 6:00,6,1,7,,,14,,,
5/6/2019 7:00,33,,21,,,42,,,
