Sensor Activity By Hour Start of Hour Hour,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes
2019-12-20 18,1380,1607
2019-12-20 19,1005,1430
2019-12-20 20,730,696
2019-12-20 21,421,680
2019-12-20 22,223,491
2019-12-20 23,264,324
2019-12-21 00,127,210
2019-12-21 01,179,276
2019-12-21 02,62,86
2019-12-21 03,60,
2019-12-21 04,60,
2019-12-21 05,16,
2019-12-21 06,,
2019-12-21 07,,
2019-12-21 08,57,101
2019-12-21 09,62,115
2019-12-21 10,50,159
2019-12-21 11,61,124
2019-12-21 12,76,184
2019-12-21 13,64,183
2019-12-21 14,59,163
2019-12-21 15,73,206
2019-12-21 16,65,232
2019-12-21 17,69,190
2019-12-21 18,67,166
2019-12-21 19,83,155
2019-12-21 20,53,112
2019-12-21 21,70,108
2019-12-21 22,80,116
2019-12-21 23,59,105
2019-12-22 00,67,96
2019-12-22 01,53,170
2019-12-22 02,3,66
2019-12-22 03,,39
2019-12-22 04,,
2019-12-22 05,,
2019-12-22 06,45,
2019-12-22 07,60,
2019-12-22 08,132,96
2019-12-22 09,117,105
2019-12-22 10,112,144
2019-12-22 11,139,157
2019-12-22 12,118,212
2019-12-22 13,118,176
2019-12-22 14,76,152
2019-12-22 15,55,162
2019-12-22 16,97,167
2019-12-22 17,98,191
2019-12-22 18,90,243
2019-12-22 19,96,258
2019-12-22 20,74,213
2019-12-22 21,64,143
2019-12-22 22,71,145
2019-12-22 23,55,145
2019-12-23 00,57,150
2019-12-23 01,69,229
2019-12-23 02,2,29
2019-12-23 03,,
2019-12-23 04,,
2019-12-23 05,,
2019-12-23 06,,
2019-12-23 07,,
2019-12-23 08,72,126
2019-12-23 09,114,123
2019-12-23 10,102,131
2019-12-23 11,492,312
2019-12-23 12,1233,897
2019-12-23 13,1249,1235
2019-12-23 14,1469,1100
2019-12-23 15,856,743
2019-12-23 16,1331,891
2019-12-23 17,1252,711
2019-12-23 18,625,705
2019-12-23 19,363,350
2019-12-23 20,300,281
2019-12-23 21,281,470
2019-12-23 22,236,334
2019-12-23 23,271,318
2019-12-24 00,107,304
2019-12-24 01,166,262
2019-12-24 02,5,124
2019-12-24 03,,71
2019-12-24 04,,60
2019-12-24 05,,38
2019-12-24 06,,
2019-12-24 07,,
2019-12-24 08,64,47
2019-12-24 09,70,112
2019-12-24 10,88,237
2019-12-24 11,92,252
2019-12-24 12,80,214
2019-12-24 13,96,193
2019-12-24 14,79,184
2019-12-24 15,76,135
2019-12-24 16,67,192
2019-12-24 17,69,82
2019-12-24 18,69,102
2019-12-24 19,68,98
2019-12-24 20,152,183
2019-12-24 21,144,206
2019-12-24 22,91,158
2019-12-24 23,110,192
2019-12-25 00,82,161
2019-12-25 01,74,199
2019-12-25 02,2,67
2019-12-25 03,,60
2019-12-25 04,,60
2019-12-25 05,,60
2019-12-25 06,,60
2019-12-25 07,,38
2019-12-25 08,87,99
2019-12-25 09,87,124
2019-12-25 10,84,97
2019-12-25 11,100,125
2019-12-25 12,80,114
2019-12-25 13,91,109
2019-12-25 14,96,93
2019-12-25 15,93,107
2019-12-25 16,95,95
2019-12-25 17,106,101
2019-12-25 18,83,101
2019-12-25 19,80,138
2019-12-25 20,81,105
2019-12-25 21,83,83
2019-12-25 22,88,74
2019-12-25 23,81,135
2019-12-26 00,80,90
2019-12-26 01,98,151
2019-12-26 02,0,1
2019-12-26 03,,
2019-12-26 04,,
2019-12-26 05,,
2019-12-26 06,,
2019-12-26 07,,
2019-12-26 08,90,96
2019-12-26 09,97,93
2019-12-26 10,78,100
2019-12-26 11,157,107
2019-12-26 12,203,210
2019-12-26 13,382,294
2019-12-26 14,436,318
2019-12-26 15,255,291
2019-12-26 16,334,314
2019-12-26 17,200,227
2019-12-26 18,236,132
2019-12-26 19,116,71
2019-12-26 20,234,168
2019-12-26 21,173,179
2019-12-26 22,168,192
2019-12-26 23,115,135
2019-12-27 00,90,116
2019-12-27 01,131,120
2019-12-27 02,1,7
2019-12-27 03,,
2019-12-27 04,,
2019-12-27 05,,
2019-12-27 06,,
2019-12-27 07,,
2019-12-27 08,77,77
2019-12-27 09,68,119
2019-12-27 10,155,125
2019-12-27 11,194,205
2019-12-27 12,348,196
2019-12-27 13,394,537
2019-12-27 14,427,441
2019-12-27 15,204,349
2019-12-27 16,255,242
2019-12-27 17,316,172
2019-12-27 18,255,134
2019-12-27 19,114,162
2019-12-27 20,197,173
2019-12-27 21,158,131
2019-12-27 22,146,74
2019-12-27 23,88,101
2019-12-28 00,80,126
2019-12-28 01,132,146
2019-12-28 02,3,8
2019-12-28 03,,
2019-12-28 04,,
2019-12-28 05,,
2019-12-28 06,,
2019-12-28 07,,
2019-12-28 08,71,110
2019-12-28 09,63,74
2019-12-28 10,58,67
2019-12-28 11,62,52
2019-12-28 12,67,78
2019-12-28 13,70,68
2019-12-28 14,61,66
2019-12-28 15,54,71
2019-12-28 16,78,72
2019-12-28 17,62,68
2019-12-28 18,64,44
2019-12-28 19,55,88
2019-12-28 20,64,50
2019-12-28 21,64,82
2019-12-28 22,62,60
2019-12-28 23,89,92
2019-12-29 00,50,83
2019-12-29 01,68,51
2019-12-29 02,1,0
2019-12-29 03,,
2019-12-29 04,,
2019-12-29 05,,
2019-12-29 06,,
2019-12-29 07,,
2019-12-29 08,63,69
2019-12-29 09,70,100
2019-12-29 10,61,68
2019-12-29 11,74,76
2019-12-29 12,59,48
2019-12-29 13,79,88
2019-12-29 14,73,70
2019-12-29 15,63,90
2019-12-29 16,78,78
2019-12-29 17,69,101
2019-12-29 18,74,55
2019-12-29 19,68,68
2019-12-29 20,59,68
2019-12-29 21,75,86
2019-12-29 22,65,75
2019-12-29 23,69,91
2019-12-30 00,75,77
2019-12-30 01,68,108
2019-12-30 02,3,3
2019-12-30 03,,
2019-12-30 04,,
2019-12-30 05,,
2019-12-30 06,,
2019-12-30 07,,
2019-12-30 08,70,72
2019-12-30 09,87,87
2019-12-30 10,137,76
2019-12-30 11,364,296
2019-12-30 12,878,341
2019-12-30 13,1494,806
2019-12-30 14,1626,976
2019-12-30 15,925,344
2019-12-30 16,1392,705
2019-12-30 17,1347,724
2019-12-30 18,891,678
2019-12-30 19,521,528
2019-12-30 20,370,387
2019-12-30 21,225,304
2019-12-30 22,199,160
2019-12-30 23,98,57
2019-12-31 00,56,132
2019-12-31 01,117,153
2019-12-31 02,1,40
2019-12-31 03,,
2019-12-31 04,,
2019-12-31 05,,
2019-12-31 06,,
2019-12-31 07,,
2019-12-31 08,60,75
2019-12-31 09,57,97
2019-12-31 10,95,113
2019-12-31 11,156,180
2019-12-31 12,258,149
2019-12-31 13,495,218
2019-12-31 14,584,373
2019-12-31 15,280,241
2019-12-31 16,124,265
2019-12-31 17,241,352
2019-12-31 18,100,179
2019-12-31 19,163,139
2019-12-31 20,260,226
2019-12-31 21,271,142
2019-12-31 22,195,195
2019-12-31 23,123,204
2020-01-01 00,108,144
2020-01-01 01,110,113
2020-01-01 02,62,61
2020-01-01 03,60,60
2020-01-01 04,20,60
2020-01-01 05,,59
2020-01-01 06,,
2020-01-01 07,,
2020-01-01 08,83,74
2020-01-01 09,68,68
2020-01-01 10,78,95
2020-01-01 11,80,90
2020-01-01 12,69,70
2020-01-01 13,60,108
2020-01-01 14,66,84
2020-01-01 15,67,57
2020-01-01 16,62,97
2020-01-01 17,93,73
2020-01-01 18,110,70
2020-01-01 19,160,109
2020-01-01 20,155,93
2020-01-01 21,145,96
2020-01-01 22,84,103
2020-01-01 23,126,82
2020-01-02 00,69,70
2020-01-02 01,100,82
2020-01-02 02,2,1
2020-01-02 03,,
2020-01-02 04,,
2020-01-02 05,,
2020-01-02 06,,
2020-01-02 07,,
2020-01-02 08,60,82
2020-01-02 09,71,115
2020-01-02 10,162,93
2020-01-02 11,560,238
2020-01-02 12,1602,330
2020-01-02 13,2624,795
2020-01-02 14,2214,716
2020-01-02 15,1455,536
2020-01-02 16,2253,852
2020-01-02 17,2352,592
2020-01-02 18,1674,517
2020-01-02 19,1117,460
2020-01-02 20,594,325
2020-01-02 21,276,279
2020-01-02 22,227,151
2020-01-02 23,225,129
2020-01-03 00,96,117
2020-01-03 01,108,107
2020-01-03 02,3,25
2020-01-03 03,,
2020-01-03 04,,
2020-01-03 05,,
2020-01-03 06,,
2020-01-03 07,,
2020-01-03 08,59,58
2020-01-03 09,62,102
2020-01-03 10,109,113
2020-01-03 11,496,176
2020-01-03 12,1342,611
2020-01-03 13,2418,1686
2020-01-03 14,2607,2175
2020-01-03 15,1625,948
2020-01-03 16,2130,1918
2020-01-03 17,2103,1542
2020-01-03 18,1308,1344
2020-01-03 19,752,710
2020-01-03 20,370,338
2020-01-03 21,295,272
2020-01-03 22,163,272
2020-01-03 23,130,87
2020-01-04 00,71,159
2020-01-04 01,111,222
2020-01-04 02,2,69
2020-01-04 03,,60
2020-01-04 04,,60
2020-01-04 05,,60
2020-01-04 06,,60
2020-01-04 07,,60
2020-01-04 08,69,120
2020-01-04 09,66,70
2020-01-04 10,54,58
2020-01-04 11,57,88
2020-01-04 12,52,75
2020-01-04 13,62,121
2020-01-04 14,87,105
2020-01-04 15,118,126
2020-01-04 16,97,72
2020-01-04 17,108,86
2020-01-04 18,96,76
2020-01-04 19,98,100
2020-01-04 20,104,79
2020-01-04 21,100,116
2020-01-04 22,51,112
2020-01-04 23,57,81
2020-01-05 00,63,72
2020-01-05 01,67,105
2020-01-05 02,4,5
2020-01-05 03,,
2020-01-05 04,,
2020-01-05 05,,
2020-01-05 06,,
2020-01-05 07,,
2020-01-05 08,68,99
2020-01-05 09,82,111
2020-01-05 10,66,81
2020-01-05 11,72,78
2020-01-05 12,55,82
2020-01-05 13,61,112
2020-01-05 14,51,107
2020-01-05 15,63,103
2020-01-05 16,77,100
2020-01-05 17,69,100
2020-01-05 18,60,78
2020-01-05 19,101,94
2020-01-05 20,116,65
2020-01-05 21,69,73
2020-01-05 22,63,102
2020-01-05 23,68,87
2020-01-06 00,66,62
2020-01-06 01,46,88
2020-01-06 02,,19
2020-01-06 03,,
2020-01-06 04,,
2020-01-06 05,,
2020-01-06 06,,
2020-01-06 07,,
2020-01-06 08,55,83
2020-01-06 09,137,126
2020-01-06 10,270,193
2020-01-06 11,1599,881
2020-01-06 12,4643,2792
2020-01-06 13,6458,5339
2020-01-06 14,6511,6106
2020-01-06 15,4869,3902
2020-01-06 16,6624,6089
2020-01-06 17,6682,6642
2020-01-06 18,6645,6303
2020-01-06 19,4173,3978
2020-01-06 20,1551,1362
2020-01-06 21,680,411
2020-01-06 22,266,330
2020-01-06 23,193,262
2020-01-07 00,66,235
2020-01-07 01,117,177
2020-01-07 02,10,74
2020-01-07 03,,60
2020-01-07 04,,60
2020-01-07 05,,60
2020-01-07 06,,60
2020-01-07 07,,8
2020-01-07 08,51,50
2020-01-07 09,81,134
2020-01-07 10,727,316
2020-01-07 11,2803,1306
2020-01-07 12,6080,3350
2020-01-07 13,6984,5599
2020-01-07 14,7110,6123
2020-01-07 15,6047,3398
2020-01-07 16,7773,5219
2020-01-07 17,7674,5981
2020-01-07 18,7811,5326
2020-01-07 19,5440,3502
2020-01-07 20,2130,1017
2020-01-07 21,750,439
2020-01-07 22,274,347
2020-01-07 23,140,116
2020-01-08 00,,60
2020-01-08 01,,60
2020-01-08 02,,47
2020-01-08 03,,
2020-01-08 04,,
2020-01-08 05,,
2020-01-08 06,,
2020-01-08 07,,
2020-01-08 08,,
2020-01-08 09,,
2020-01-08 10,,
2020-01-08 11,,
2020-01-08 12,,
2020-01-08 13,,
2020-01-08 14,,
2020-01-08 15,,
2020-01-08 16,,
2020-01-08 17,,
2020-01-08 18,,
2020-01-08 19,,
2020-01-08 20,,
2020-01-08 21,,
2020-01-08 22,,
2020-01-08 23,,
2020-01-09 00,,
2020-01-09 01,,
2020-01-09 02,,
2020-01-09 03,,
2020-01-09 04,,
2020-01-09 05,,
2020-01-09 06,,
2020-01-09 07,,
2020-01-09 08,,
2020-01-09 09,,
2020-01-09 10,,
2020-01-09 11,,
2020-01-09 12,,
2020-01-09 13,,
2020-01-09 14,,
2020-01-09 15,,
2020-01-09 16,,
2020-01-09 17,,
2020-01-09 18,,
2020-01-09 19,,
2020-01-09 20,,
2020-01-09 21,,
2020-01-09 22,,
2020-01-09 23,,
2020-01-10 00,,
2020-01-10 01,,
2020-01-10 02,,
2020-01-10 03,,
2020-01-10 04,,
2020-01-10 05,,
2020-01-10 06,,
2020-01-10 07,,
2020-01-10 08,,
2020-01-10 09,,
2020-01-10 10,,
2020-01-10 11,,
2020-01-10 12,,
2020-01-10 13,,
2020-01-10 14,,
2020-01-10 15,,
2020-01-10 16,,
2020-01-10 17,,
2020-01-10 18,,
2020-01-10 19,,
2020-01-10 20,,
2020-01-10 21,,
2020-01-10 22,,
2020-01-10 23,,
2020-01-11 00,,
2020-01-11 01,,
2020-01-11 02,,
2020-01-11 03,,
2020-01-11 04,,
2020-01-11 05,,
2020-01-11 06,,
2020-01-11 07,,
2020-01-11 08,,
2020-01-11 09,,
2020-01-11 10,,
2020-01-11 11,,
2020-01-11 12,,
2020-01-11 13,,
2020-01-11 14,,
2020-01-11 15,,
2020-01-11 16,,
2020-01-11 17,,
2020-01-11 18,,
2020-01-11 19,,
2020-01-11 20,,
2020-01-11 21,,
2020-01-11 22,,
2020-01-11 23,,
2020-01-12 00,,
2020-01-12 01,,
2020-01-12 02,,
2020-01-12 03,,
2020-01-12 04,,
2020-01-12 05,,
2020-01-12 06,,
2020-01-12 07,,
2020-01-12 08,,
2020-01-12 09,,
2020-01-12 10,,
2020-01-12 11,,
2020-01-12 12,,
2020-01-12 13,,
2020-01-12 14,,
2020-01-12 15,,
2020-01-12 16,,
2020-01-12 17,,
2020-01-12 18,,
2020-01-12 19,,
2020-01-12 20,,
2020-01-12 21,,
2020-01-12 22,,
2020-01-12 23,,
2020-01-13 00,,
2020-01-13 01,,
2020-01-13 02,,
2020-01-13 03,,
2020-01-13 04,,
2020-01-13 05,,
2020-01-13 06,,
2020-01-13 07,,
2020-01-13 08,,
2020-01-13 09,,
2020-01-13 10,,
2020-01-13 11,,
2020-01-13 12,,
2020-01-13 13,,
2020-01-13 14,,
2020-01-13 15,,
2020-01-13 16,,
2020-01-13 17,,
2020-01-13 18,,
2020-01-13 19,,
2020-01-13 20,,
2020-01-13 21,,
2020-01-13 22,,
2020-01-13 23,,
2020-01-14 00,,
2020-01-14 01,,
2020-01-14 02,,
2020-01-14 03,,
2020-01-14 04,,
2020-01-14 05,,
2020-01-14 06,,
2020-01-14 07,,
2020-01-14 08,,
2020-01-14 09,,
2020-01-14 10,,
2020-01-14 11,,
2020-01-14 12,,
2020-01-14 13,,
2020-01-14 14,,
2020-01-14 15,,
2020-01-14 16,,
2020-01-14 17,,
2020-01-14 18,,
2020-01-14 19,,
2020-01-14 20,,
2020-01-14 21,,
2020-01-14 22,,
2020-01-14 23,,
2020-01-15 00,,
2020-01-15 01,,
2020-01-15 02,,
2020-01-15 03,,
2020-01-15 04,,
2020-01-15 05,,
2020-01-15 06,,
2020-01-15 07,,
2020-01-15 08,,
2020-01-15 09,,
2020-01-15 10,,
2020-01-15 11,,
2020-01-15 12,,
2020-01-15 13,,
2020-01-15 14,,
2020-01-15 15,,
2020-01-15 16,,
2020-01-15 17,,
2020-01-15 18,,
2020-01-15 19,,
2020-01-15 20,,
2020-01-15 21,,
2020-01-15 22,,
2020-01-15 23,251,119
2020-01-16 00,181,184
2020-01-16 01,172,94
2020-01-16 02,64,5
2020-01-16 03,60,
2020-01-16 04,60,
2020-01-16 05,60,
2020-01-16 06,60,
2020-01-16 07,17,
2020-01-16 08,38,64
2020-01-16 09,62,106
2020-01-16 10,417,241
2020-01-16 11,2315,844
2020-01-16 12,3805,2063
2020-01-16 13,5844,3194
2020-01-16 14,5205,2906
2020-01-16 15,4303,2184
2020-01-16 16,5845,2714
2020-01-16 17,6044,2822
2020-01-16 18,5802,2757
2020-01-16 19,3891,1786
2020-01-16 20,1820,943
2020-01-16 21,751,498
2020-01-16 22,332,320
2020-01-16 23,235,203
2020-01-17 00,81,271
2020-01-17 01,108,70
2020-01-17 02,,5
2020-01-17 03,,
2020-01-17 04,,
2020-01-17 05,,
2020-01-17 06,,
2020-01-17 07,,
2020-01-17 08,31,130
2020-01-17 09,33,141
2020-01-17 10,239,152
2020-01-17 11,1312,736
2020-01-17 12,4015,2924
2020-01-17 13,5658,5560
2020-01-17 14,5853,5968
2020-01-17 15,3461,3508
2020-01-17 16,5290,5662
2020-01-17 17,5318,5467
2020-01-17 18,4218,5089
2020-01-17 19,2312,2985
2020-01-17 20,745,1057
2020-01-17 21,207,732
2020-01-17 22,164,427
2020-01-17 23,190,355
2020-01-18 00,240,292
2020-01-18 01,240,236
2020-01-18 02,240,66
2020-01-18 03,240,60
2020-01-18 04,240,60
2020-01-18 05,240,60
2020-01-18 06,240,60
2020-01-18 07,103,15
2020-01-18 08,,55
2020-01-18 09,,51
2020-01-18 10,,51
2020-01-18 11,,60
2020-01-18 12,,67
2020-01-18 13,,43
2020-01-18 14,,49
2020-01-18 15,,57
2020-01-18 16,,48
2020-01-18 17,,68
2020-01-18 18,,58
2020-01-18 19,,45
2020-01-18 20,,46
2020-01-18 21,,12
,0,0
