Sensor Activity By Hour Start of Hour Time,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes,Sensor Activity By Hour Minutes
2019-10-01 11:00:00,,60,,540,,,,,,,60,60,,,,,,,941
2019-10-01 12:00:00,,60,,540,,,,,,,60,60,,,,,,,955
2019-10-01 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-01 21:00:00,,60,,535,,,,,,,60,60,,,,,,,953
2019-10-01 22:00:00,,60,,527,,,,,,,50,60,,,,,,,918
2019-10-01 23:00:00,,60,,526,,,,,,,60,60,,,,,,,926
2019-10-02 00:00:00,,60,,536,,,,,,,58,60,,,,,,,927
2019-10-02 01:00:00,,60,,486,,,,,,,55,60,,,,,,,899
2019-10-02 02:00:00,,60,,486,,,,,,,50,60,,,,,,,877
2019-10-02 03:00:00,,60,,535,,,,,,,60,60,,,,,,,945
2019-10-02 04:00:00,,60,,524,,,,,,,53,51,,,,,,,927
2019-10-02 05:00:00,,60,,539,,,,,,,58,60,,,,,,,947
2019-10-02 06:00:00,,60,,534,,,,,,,58,60,,,,,,,922
2019-10-02 07:00:00,,54,,498,,,,,,,50,60,,,,,,,883
2019-10-02 08:00:00,,60,,540,,,,,,,59,60,,,,,,,951
2019-10-02 09:00:00,,60,,540,,,,,,,41,60,,,,,,,934
2019-10-02 10:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 11:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-02 21:00:00,,60,,534,,,,,,,60,60,,,,,,,946
2019-10-02 22:00:00,,60,,510,,,,,,,60,55,,,,,,,915
2019-10-02 23:00:00,,60,,520,,,,,,,54,57,,,,,,,919
2019-10-03 00:00:00,,60,,520,,,,,,,54,51,,,,,,,882
2019-10-03 01:00:00,,60,,521,,,,,,,58,52,,,,,,,919
2019-10-03 02:00:00,,60,,519,,,,,,,60,60,,,,,,,902
2019-10-03 03:00:00,,60,,537,,,,,,,60,60,,,,,,,937
2019-10-03 04:00:00,,60,,537,,,,,,,57,60,,,,,,,908
2019-10-03 05:00:00,,60,,514,,,,,,,47,60,,,,,,,880
2019-10-03 06:00:00,,60,,510,,,,,,,50,57,,,,,,,900
2019-10-03 07:00:00,,54,,511,,,,,,,50,56,,,,,,,888
2019-10-03 08:00:00,,51,,492,,,,,,,32,60,,,,,,,798
2019-10-03 09:00:00,,60,,536,,,,,,,48,58,,,,,,,938
2019-10-03 10:00:00,,60,,534,,,,,,,59,60,,,,,,,947
2019-10-03 11:00:00,,60,,540,,,,,,,60,60,,,,,,,946
2019-10-03 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-03 21:00:00,,60,,535,,,,,,,46,60,,,,,,,940
2019-10-03 22:00:00,,60,,529,,,,,,,54,60,,,,,,,927
2019-10-03 23:00:00,,60,,478,,,,,,,36,60,,,,,,,828
2019-10-04 00:00:00,,60,,471,,,,,,,35,42,,,,,,,868
2019-10-04 01:00:00,,60,,493,,,,,,,37,24,,,,,,,823
2019-10-04 02:00:00,,60,,488,,,,,,,36,52,,,,,,,872
2019-10-04 03:00:00,,57,,527,,,,,,,54,60,,,,,,,877
2019-10-04 04:00:00,,47,,479,,,,,,,22,58,,,,,,,845
2019-10-04 05:00:00,,60,,480,,,,,,,49,60,,,,,,,887
2019-10-04 06:00:00,,60,,488,,,,,,,60,60,,,,,,,900
2019-10-04 07:00:00,,60,,444,,,,,,,51,48,,,,,,,797
2019-10-04 08:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 09:00:00,,58,,512,,,,,,,57,54,,,,,,,899
2019-10-04 10:00:00,,60,,540,,,,,,,60,60,,,,,,,916
2019-10-04 11:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 21:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 22:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-04 23:00:00,,60,,536,,,,,,,60,60,,,,,,,957
2019-10-05 00:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 01:00:00,,60,,524,,,,,,,60,60,,,,,,,929
2019-10-05 02:00:00,,60,,482,,,,,,,36,46,,,,,,,864
2019-10-05 03:00:00,,60,,540,,,,,,,60,60,,,,,,,951
2019-10-05 04:00:00,,60,,536,,,,,,,56,60,,,,,,,956
2019-10-05 05:00:00,,60,,540,,,,,,,60,60,,,,,,,957
2019-10-05 06:00:00,,60,,528,,,,,,,60,60,,,,,,,960
2019-10-05 07:00:00,,60,,529,,,,,,,42,60,,,,,,,886
2019-10-05 08:00:00,,60,,528,,,,,,,45,60,,,,,,,931
2019-10-05 09:00:00,,53,,501,,,,,,,51,54,,,,,,,853
2019-10-05 10:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 11:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 21:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 22:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-05 23:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 00:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 01:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 02:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 03:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 04:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 05:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 06:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 07:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 08:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 09:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 10:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 11:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 21:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 22:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-06 23:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 00:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 01:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 02:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 03:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 04:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 05:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 06:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 07:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 08:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 09:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 10:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 11:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 12:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 13:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 14:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 15:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 16:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 17:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 18:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 19:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 20:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 21:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 22:00:00,,60,,540,,,,,,,60,60,,,,,,,960
2019-10-07 23:00:00,,60,,507,,,,,,,60,60,,,,,,,947
2019-10-08 00:00:00,,60,,485,,,,,,,55,60,,,,,,,885
2019-10-08 01:00:00,,60,,507,,,,,,,52,60,,,,,,,852
2019-10-08 02:00:00,,60,,514,,,,,,,60,60,,,,,,,932
2019-10-08 03:00:00,,60,,510,,,,,,,50,60,,,,,,,882
2019-10-08 04:00:00,,60,,499,,,,,,,57,60,,,,,,,870
